1,1,37,3,40,,,,,,,,,,,,,
2,1,33,7,40,,,,,,,,,,,,,
3,1,30,10,40,,,,,,,,,,,,,
4,1,29,11,40,,,,,,,,,,,,,
5,1,35,5,40,,,,,,,,,,,,,
6,2,28,12,40,,,,,,,,,,,,,
7,2,35,5,40,,,,,,,,,,,,,
8,2,32,8,40,,,,,,,,,,,,,
9,2,31,9,40,,,,,,,,,,,,,
10,2,31,9,40,,,,,,,,,,,,,
11,3,39,1,40,,,,,,,,,,,,,
12,3,37,3,40,,,,,,,,,,,,,
13,3,36,4,40,,,,,,,,,,,,,
14,3,37,3,40,,,,,,,,,,,,,
15,3,35,5,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,36,37,35
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
